ID,Advocate Name,Location,Experience (Years),Specialization,Notable Cases Handled,Fee (INR)
3902,Adv. Sanjana Khanna,Udaipur,10,Medical Negligence Law,Police Brutality,28116
3903,Adv. Priya Pandey,Mumbai,6,Land & Property Law,Road Accidents,15742
3904,Adv. Tanvi Reddy,Jaipur,10,Banking Fraud Law,Tax Evasion,48789
3905,Adv. Aarav Sharma,Bangalore,11,Financial Law,Online Harassment,7294
3906,Adv. Ajay Jain,Hyderabad,20,Juvenile Law,Wrong Diagnosis,45081
3907,Adv. Sunita Bhardwaj,Coimbatore,16,Animal Rights Law,Extradition,11637
3908,Adv. Mohit Iyer,Chennai,20,Civil Litigation,Train Accidents,8547
3909,Adv. Mohit Narang,Asansol,5,Civil Litigation,Bribery,27077
3910,Adv. Pooja Vyas,Kanpur,17,Animal Rights Law,Child Crime Cases,26154
3911,Adv. Tanvi Nair,Nagpur,18,Election Law,Eviction Cases,40200
3912,Adv. Raghav Pillai,Agra,13,Employment & Labor Law,Discrimination Cases,39778
3913,Adv. Pooja Patel,Agra,6,Financial Law,Tax Evasion,5222
3914,Adv. Chetan Das,Guwahati,7,Sports Law,Financial Frauds,49418
3915,Adv. Ritu Nair,Jaipur,18,White Collar Crimes,Breach of Contracts,43180
3916,Adv. Nidhi Menon,Gorakhpur,8,Business Law,Money Laundering,45428
3917,Adv. Arjun Kapoor,Varanasi,5,Railway Law,Train Accidents,13607
3918,Adv. Dheeraj Das,Chandigarh,6,International Law,Fundamental Rights,9202
3919,Adv. Om Prakash Roy,Siliguri,13,Cyber Crime Law,Deforestation Cases,33780
3920,Adv. Dheeraj Sen,Hyderabad,8,Juvenile Law,Property Disputes,40792
3921,Adv. Snehal Kapoor,Hubli,5,Banking & Finance Law,Custody Cases,40400
3922,Adv. Kavita Agrawal,Surat,17,Defamation Law,Divorce,12260
3923,Adv. Tanvi Vyas,Mumbai,7,Insurance Law,Property Disputes,26077
3924,Adv. Rohan Iyer,Bangalore,8,Business Law,Homicide,47260
3925,Adv. Kunal Mishra,Amritsar,20,Arbitration & Mediation,Pollution Violations,5081
3926,Adv. Rajeev Kapoor,Bhavnagar,6,Cyber Law,Bribery,16399
3927,Adv. Divya Malhotra,Coimbatore,8,Arbitration & Mediation,Domestic Violence,44570
3928,Adv. Anjali Pillai,Shimla,13,White Collar Crimes,Human Rights Violations,12216
3929,Adv. Rohan Kaur,Guwahati,8,International Law,Patent Infringements,28798
3930,Adv. Sunita Pillai,Asansol,10,Sports Law,Property Disputes,30106
3931,Adv. Ritu Choudhary,Solapur,15,Animal Rights Law,Poaching Cases,31236
3932,Adv. Mohit Rajput,Goa,18,Media & Entertainment Law,Drug Trafficking,24015
3933,Adv. Bhavna Kapoor,Ranchi,16,Medical Negligence Law,PILs,14377
3934,Adv. Sneha Bhatia,Bangalore,16,Cyber Law,Visa Fraud,27943
3935,Adv. Ritu Sharma,Bhavnagar,19,Medical Negligence Law,Government Scandals,48341
3936,Adv. Megha Verma,Nashik,11,Gender Rights Law,Tax Evasion,21109
3937,Adv. Sunita Dixit,Jaipur,10,Financial Law,Road Accidents,13812
3938,Adv. Snehal Menon,Asansol,8,Animal Rights Law,Land Grabbing,39241
3939,Adv. Megha Mishra,Gwalior,19,Insurance Law,Discrimination Cases,30794
3940,Adv. Varun Dixit,Nashik,16,Telecommunication Law,Domestic Violence,18516
3941,Adv. Sandeep Arora,Bhopal,17,Railway Law,Visa Fraud,39502
3942,Adv. Pooja Sinha,Siliguri,13,Real Estate Law,Defective Products,19647
3943,Adv. Parth Gupta,Raipur,5,Civil Litigation,Insider Trading,12825
3944,Adv. Om Prakash Agrawal,Ranchi,13,Trademark & Patent Law,Government Scandals,34365
3945,Adv. Chetan Chatterjee,Mysore,10,Gender Rights Law,Child Crime Cases,33841
3946,Adv. Simran Khanna,Patna,11,Banking Fraud Law,Debt Negotiations,46415
3947,Adv. Raghav Bhatia,Nashik,16,Public Interest Law,Data Breach,21764
3948,Adv. Nidhi Agrawal,Allahabad,10,Public Interest Law,Court-Martial Cases,36631
3949,Adv. Ramesh Jain,Bangalore,18,Anti-Corruption Law,Passenger Rights,5808
3950,Adv. Raghav Kulkarni,Bhopal,10,Environmental Law,Domestic Violence,46169
3951,Adv. Rohan Gupta,Udaipur,15,Election Law,Liability Cases,49801
3952,Adv. Pooja Mishra,Bhavnagar,12,Family Law,Mutual Divorce,7619
3953,Adv. Rahul Deshmukh,Allahabad,12,White Collar Crimes,Defamation,17206
3954,Adv. Priya Patel,Asansol,12,Constitutional Law,Child Crime Cases,28865
3955,Adv. Neha Sharma,Bareilly,15,Consumer Protection Law,Corporate Frauds,6527
3956,Adv. Veena Dixit,Bhavnagar,7,Telecommunication Law,Road Accidents,22983
3957,Adv. Ritu Yadav,Raipur,7,Narcotics Law,Data Breach,20545
3958,Adv. Alok Joshi,Madurai,10,Arbitration & Mediation,Fraudulent Sales,32473
3959,Adv. Nidhi Bhardwaj,Chandigarh,5,Transportation Law,Asylum Cases,22876
3960,Adv. Kavita Sharma,Patna,7,Criminal Law,Slander Cases,28612
3961,Adv. Tanvi Sen,Asansol,12,Telecommunication Law,Deforestation Cases,41532
3962,Adv. Chetan Saxena,Solapur,7,Juvenile Law,Slander Cases,27140
3963,Adv. Neha Sinha,Madurai,14,Juvenile Law,Debt Negotiations,32284
3964,Adv. Tanvi Deshmukh,Madurai,6,Financial Law,Passenger Rights,6833
3965,Adv. Kunal Verma,Solapur,8,Immigration Law,LGBTQ+ Rights Cases,35425
3966,Adv. Pooja Verma,Siliguri,10,Elder Law,Extradition,36735
3967,Adv. Chetan Mishra,Nagpur,9,Human Rights Law,Passenger Rights,37422
3968,Adv. Aditya Malhotra,Noida,20,Land & Property Law,Air Accidents,18515
3969,Adv. Yogesh Arora,Mysore,14,Elder Law,ISP Disputes,41832
3970,Adv. Simran Vyas,Bhavnagar,11,Civil Litigation,Divorce,36410
3971,Adv. Arjun Malik,Jodhpur,12,Narcotics Law,Child Crime Cases,25472
3972,Adv. Rahul Verma,Vijayawada,10,Cyber Law,Tax Evasion,45855
3973,Adv. Simran Bhatia,Ranchi,20,Employment & Labor Law,Passenger Rights,6716
3974,Adv. Deepa Chopra,Ahmedabad,8,Real Estate Law,Land Acquisition,31139
3975,Adv. Bhavna Pandey,Nashik,14,Banking & Finance Law,Poaching Cases,7561
3976,Adv. Simran Sinha,Mumbai,8,Employment & Labor Law,Child Custody,8633
3977,Adv. Kavita Deshmukh,Patna,14,Trademark & Patent Law,Poaching Cases,36377
3978,Adv. Alok Chauhan,Chandigarh,16,International Law,Loan Defaults,37888
3979,Adv. Anjali Bhardwaj,Shimla,18,Military Law,Extradition,18538
3980,Adv. Deepa Reddy,Mumbai,18,Railway Law,ISP Disputes,24939
3981,Adv. Aditya Choudhary,Jodhpur,8,Real Estate Law,Bank Fraud,44541
3982,Adv. Ashwin Chatterjee,Chennai,17,Environmental Law,Child Crime Cases,47156
3983,Adv. Ritu Arora,Asansol,15,Aviation Law,Animal Cruelty,36064
3984,Adv. Chetan Soni,Bhopal,8,Business Law,Poaching Cases,18398
3985,Adv. Anjali Rana,Varanasi,5,Animal Rights Law,Custody Cases,22931
3986,Adv. Om Prakash Soni,Pune,15,Family Law,Rent Disputes,29826
3987,Adv. Bhavna Chauhan,Chennai,16,Transportation Law,Doping Cases,35933
3988,Adv. Yogesh Menon,Coimbatore,19,Banking Fraud Law,Mergers,29335
3989,Adv. Megha Menon,Gwalior,7,Land & Property Law,Wrong Diagnosis,45309
3990,Adv. Tarun Vyas,Raipur,12,Banking Fraud Law,Loan Disputes,41844
3991,Adv. Kunal Dixit,Surat,5,Cyber Law,Retirement Benefits,41695
3992,Adv. Vikram Mehta,Shimla,18,Intellectual Property Law,Liability Cases,33593
3993,Adv. Alok Menon,Mumbai,14,Narcotics Law,Privacy Issues,27573
3994,Adv. Vikram Yadav,Mumbai,13,Business Law,Player Contracts,19770
3995,Adv. Tarun Bhatia,Bhavnagar,20,Corporate Law,NGO Registration,8925
3996,Adv. Ishita Kapoor,Asansol,18,Cyber Crime Law,Film Contracts,6193
3997,Adv. Deepa Bhardwaj,Guwahati,18,Land & Property Law,Land Grabbing,48618
3998,Adv. Tanvi Kaur,Agra,13,Cyber Law,Electoral Malpractices,35570
3999,Adv. Ajay Mehta,Thiruvananthapuram,10,Public Interest Law,Extradition,19939
4000,Adv. Chetan Iyer,Noida,19,International Law,Extradition,26559
4001,Adv. Priya Iyer,Agra,7,Debt Recovery Law,Corporate Frauds,46324
4002,Adv. Tarun Malik,Jaipur,11,White Collar Crimes,Poaching Cases,27867
4003,Adv. Varun Dixit,Kolkata,16,Constitutional Law,Bank Fraud,23045
4004,Adv. Nitin Kapoor,Bhopal,14,Medical Negligence Law,Fundamental Rights,30366
4005,Adv. Manish Malhotra,Patna,16,Railway Law,Doping Cases,19780
4006,Adv. Sunita Kapoor,Nashik,13,Aviation Law,Libel,38427
4007,Adv. Kiran Iyer,Chandigarh,10,Family Law,Road Accidents,25308
4008,Adv. Neha Narang,Kanpur,13,Employment & Labor Law,Electoral Malpractices,36792
4009,Adv. Sunita Reddy,Bareilly,18,Banking & Finance Law,Pollution Violations,22889
4010,Adv. Kiran Malik,Nashik,17,Cyber Crime Law,Government Accountability,33744
4011,Adv. Arjun Mishra,Kolkata,20,Gender Rights Law,Loan Defaults,38916
4012,Adv. Suraj Verma,Gorakhpur,17,Gender Rights Law,Service Disputes,36693
4013,Adv. Om Prakash Patel,Coimbatore,17,Consumer Protection Law,Tax Evasion,8261
4014,Adv. Rahul Gupta,Gwalior,14,Human Rights Law,LGBTQ+ Rights Cases,36881
4015,Adv. Snehal Rajput,Hubli,7,Intellectual Property Law,Doping Cases,19443
4016,Adv. Bhavna Kulkarni,Vijayawada,6,Public Interest Law,Tax Evasion,9982
4017,Adv. Devansh Rana,Bareilly,16,Civil Litigation,Bribery,38771
4018,Adv. Divya Khanna,Noida,12,Telecommunication Law,Bribery,30859
4019,Adv. Chetan Malhotra,Ahmedabad,18,Debt Recovery Law,Visa Fraud,10224
4020,Adv. Rohan Patel,Jodhpur,17,Banking Fraud Law,Fraudulent Insurance Claims,32506
4021,Adv. Snehal Iyer,Mumbai,10,Telecommunication Law,Property Disputes,29766
4022,Adv. Kunal Sen,Amritsar,10,Human Rights Law,Patent Infringements,5394
4023,Adv. Dheeraj Chauhan,Nashik,19,Cyber Crime Law,Child Custody,26473
4024,Adv. Simran Kapoor,Bhavnagar,18,Telecommunication Law,Land Grabbing,37837
4025,Adv. Sneha Malik,Madurai,7,Anti-Corruption Law,Loan Disputes,21521
4026,Adv. Ashwin Mehta,Delhi,11,Business Law,Juvenile Justice,45536
4027,Adv. Chetan Malhotra,Varanasi,6,Media & Entertainment Law,Rent Disputes,5623
4028,Adv. Kunal Pillai,Bhopal,18,Media & Entertainment Law,NGO Registration,26144
4029,Adv. Alok Gupta,Siliguri,5,Family Law,Electoral Malpractices,47046
4030,Adv. Sanjana Mishra,Surat,17,Trademark & Patent Law,Bank Fraud,8589
4031,Adv. Tarun Sen,Pune,9,Media & Entertainment Law,Eviction Cases,23027
4032,Adv. Kiran Verma,Bangalore,9,Aviation Law,Copyright Disputes,48198
4033,Adv. Simran Dixit,Vijayawada,17,Aviation Law,Income Tax Disputes,10629
4034,Adv. Kiran Sharma,Delhi,10,Transportation Law,Government Scandals,16036
4035,Adv. Kunal Agrawal,Noida,16,Narcotics Law,Passenger Rights,38253
4036,Adv. Simran Pillai,Jodhpur,6,Medical Negligence Law,Workplace Harassment,48738
4037,Adv. Alok Rana,Hyderabad,8,Charity & NGO Law,Passenger Rights,42980
4038,Adv. Sneha Sharma,Gwalior,14,Intellectual Property Law,Alimony Cases,7202
4039,Adv. Mohit Bhatia,Indore,19,Public Interest Law,Alimony Cases,44316
4040,Adv. Megha Yadav,Amritsar,10,Real Estate Law,Voting Rights,40281
4041,Adv. Sanjana Iyer,Goa,6,Civil Litigation,Police Brutality,37096
4042,Adv. Sneha Dixit,Agra,18,White Collar Crimes,Counterfeit Cases,17898
4043,Adv. Priya Nair,Mysore,14,Aviation Law,Forged Cheques,19588
4044,Adv. Rajeev Khanna,Kanpur,15,Military Law,Debt Negotiations,33785
4045,Adv. Rahul Saxena,Gorakhpur,5,Transportation Law,Workplace Harassment,23967
4046,Adv. Aditya Tiwari,Allahabad,14,Criminal Law,Online Harassment,36526
4047,Adv. Sandeep Tiwari,Hyderabad,18,Narcotics Law,Retirement Benefits,17684
4048,Adv. Tarun Reddy,Coimbatore,19,Animal Rights Law,Eviction Cases,34565
4049,Adv. Kavita Bhatia,Guwahati,6,Telecommunication Law,GST Fraud,22784
4050,Adv. Dheeraj Khanna,Agra,12,International Law,Parental Rights,11368
4051,Adv. Nidhi Mishra,Allahabad,15,Defamation Law,Counterfeit Cases,43879
4052,Adv. Ritika Sharma,Madurai,15,Anti-Corruption Law,Loan Disputes,22661
4053,Adv. Megha Vyas,Hyderabad,12,Debt Recovery Law,Bank Frauds,29285
4054,Adv. Rajeev Saxena,Thiruvananthapuram,9,Trademark & Patent Law,Foreign Trade Disputes,38991
4055,Adv. Devansh Malik,Allahabad,14,Medical Negligence Law,Foreign Trade Disputes,6766
4056,Adv. Bhavna Patel,Nashik,18,Medical Negligence Law,Rent Disputes,11683
4057,Adv. Priya Deshmukh,Bangalore,6,Immigration Law,Fraudulent Sales,29103
4058,Adv. Aarav Bhasin,Hubli,12,Medical Negligence Law,Government Accountability,14566
4059,Adv. Aarav Sharma,Vijayawada,16,Arbitration & Mediation,Asylum Cases,27318
4060,Adv. Yogesh Roy,Chennai,6,Taxation Law,Property Disputes,25344
4061,Adv. Bhavna Pillai,Kanpur,20,Gender Rights Law,Property Disputes,29911
4062,Adv. Manish Das,Vijayawada,11,Intellectual Property Law,Malpractice,36853
4063,Adv. Bhavna Mehta,Jaipur,17,Business Law,Bribery,29551
4064,Adv. Pooja Sen,Lucknow,17,Narcotics Law,Money Laundering,27456
4065,Adv. Swati Yadav,Goa,6,Taxation Law,Workplace Harassment,14025
4066,Adv. Kavita Saxena,Hyderabad,12,Civil Rights Law,Illegal Possession,31620
4067,Adv. Neha Chauhan,Nagpur,6,Banking & Finance Law,Deforestation Cases,39716
4068,Adv. Bhavna Chauhan,Asansol,12,Corporate Law,Trademark Infringement,44977
4069,Adv. Ashwin Mishra,Surat,20,Elder Law,PILs,48913
4070,Adv. Ishita Khandelwal,Patna,17,Civil Litigation,GST Fraud,10734
4071,Adv. Chetan Khandelwal,Patna,16,Elder Law,Poaching Cases,21860
4072,Adv. Rajeev Yadav,Kolkata,20,Juvenile Law,Workplace Harassment,23768
4073,Adv. Ajay Chopra,Bangalore,9,Media & Entertainment Law,Extradition,22911
4074,Adv. Ramesh Nair,Siliguri,20,White Collar Crimes,Drug Trafficking,33960
4075,Adv. Aditya Choudhary,Udaipur,7,Employment & Labor Law,Child Crime Cases,43031
4076,Adv. Veena Mehta,Solapur,20,Elder Law,Libel,46552
4077,Adv. Manish Saxena,Hyderabad,5,Trademark & Patent Law,Malpractice,18118
4078,Adv. Ritika Mishra,Chennai,7,Transportation Law,Bank Fraud,18829
4079,Adv. Yogesh Iyer,Gwalior,11,Election Law,PILs,29689
4080,Adv. Alok Mishra,Lucknow,11,Media & Entertainment Law,Air Accidents,28527
4081,Adv. Sunita Pandey,Patna,17,Animal Rights Law,Dispute Settlements,17211
4082,Adv. Ashwin Sinha,Guwahati,7,Juvenile Law,Forged Cheques,33959
4083,Adv. Aditya Agrawal,Siliguri,18,Human Rights Law,Bribery,42464
4084,Adv. Ajay Patel,Indore,17,Transportation Law,Defective Products,15057
4085,Adv. Vikram Agrawal,Nagpur,7,Telecommunication Law,Government Accountability,37258
4086,Adv. Varun Das,Jodhpur,5,Debt Recovery Law,Hacking,48734
4087,Adv. Anjali Iyer,Thiruvananthapuram,6,Business Law,Fund Mismanagement,38725
4088,Adv. Om Prakash Reddy,Goa,15,Insurance Law,Mutual Divorce,36585
4089,Adv. Chetan Joshi,Ranchi,5,Military Law,Government Accountability,20606
4090,Adv. Veena Tiwari,Chandigarh,16,Debt Recovery Law,Illegal Possession,31523
4091,Adv. Pooja Khandelwal,Chennai,6,Financial Law,Privacy Issues,43152
4092,Adv. Deepa Dixit,Patna,16,Consumer Protection Law,Claim Disputes,7678
4093,Adv. Alok Mehta,Kolkata,8,Railway Law,Sexual Harassment,33784
4094,Adv. Sneha Chauhan,Jodhpur,12,Public Interest Law,Online Fraud,7228
4095,Adv. Sunita Dixit,Chandigarh,11,Elder Law,GST Fraud,11169
4096,Adv. Snehal Sharma,Varanasi,18,Aviation Law,Fund Mismanagement,10095
4097,Adv. Ashwin Kaur,Delhi,12,Land & Property Law,Government Scandals,44088
4098,Adv. Parth Arora,Solapur,5,Intellectual Property Law,Malpractice,36889
4099,Adv. Ishita Agrawal,Agra,9,Narcotics Law,Human Rights Violations,25114
4100,Adv. Tanvi Roy,Udaipur,10,Criminal Law,Rent Disputes,13382
4101,Adv. Nitin Kaur,Ranchi,10,Sports Law,Workplace Harassment,44077
4102,Adv. Priya Khanna,Solapur,10,Railway Law,Fraudulent Insurance Claims,47166
4103,Adv. Aditya Kaur,Mumbai,9,Election Law,Property Disputes,43203
4104,Adv. Kavita Narang,Patna,20,Land & Property Law,Breach of Contracts,34641
4105,Adv. Ajay Bhatia,Mumbai,5,Medical Negligence Law,Property Disputes,6885
4106,Adv. Ritu Yadav,Shimla,7,Real Estate Law,Train Accidents,28623
4107,Adv. Alok Sharma,Mysore,11,Constitutional Law,Passenger Rights,20040
4108,Adv. Rahul Rana,Meerut,17,Elder Law,Loan Defaults,6826
4109,Adv. Rohan Pandey,Vadodara,7,Business Law,Alimony Cases,9673
4110,Adv. Akash Patel,Shimla,19,Narcotics Law,Extradition,36822
4111,Adv. Ishita Rana,Solapur,14,Gender Rights Law,NGO Registration,8712
4112,Adv. Aditya Pandey,Bareilly,5,Employment & Labor Law,Money Laundering,48754
4113,Adv. Yogesh Arora,Nashik,11,Military Law,Government Scandals,30769
4114,Adv. Snehal Rana,Jaipur,10,Employment & Labor Law,Child Custody,27387
4115,Adv. Ramesh Khandelwal,Indore,15,Media & Entertainment Law,Narcotics,18466
4116,Adv. Aditya Choudhary,Vadodara,18,Environmental Law,Divorce,31468
4117,Adv. Ajay Sharma,Mumbai,9,Criminal Law,Money Laundering,24776
4118,Adv. Aarav Kapoor,Goa,5,Aviation Law,Passenger Rights,5917
4119,Adv. Ritu Roy,Madurai,19,Military Law,Sexual Harassment,13226
4120,Adv. Kiran Kaur,Bangalore,18,Real Estate Law,Air Accidents,8671
4121,Adv. Suraj Narang,Vadodara,6,Financial Law,Slander Cases,10446
4122,Adv. Sandeep Dixit,Delhi,8,Immigration Law,Mergers,26846
4123,Adv. Arjun Iyer,Bangalore,17,Family Law,ISP Disputes,43130
4124,Adv. Pooja Malhotra,Delhi,5,Financial Law,GST Fraud,47420
4125,Adv. Chetan Vyas,Delhi,5,Juvenile Law,Poaching Cases,48554
4126,Adv. Chetan Gupta,Raipur,5,Transportation Law,Insider Trading,21155
4127,Adv. Snehal Agrawal,Thiruvananthapuram,12,Criminal Law,Money Laundering Cases,33798
4128,Adv. Ritika Chatterjee,Indore,10,Telecommunication Law,Illegal Possession,22359
4129,Adv. Ritika Mishra,Warangal,8,Banking Fraud Law,Insider Trading,10219
4130,Adv. Yogesh Sharma,Gwalior,17,Civil Rights Law,Tax Evasion,15349
4131,Adv. Alok Gupta,Vadodara,10,Insurance Law,Government Accountability,39085
4132,Adv. Kunal Patel,Bhavnagar,10,Human Rights Law,Contract Breaches,41416
4133,Adv. Bhavna Verma,Nashik,12,Railway Law,Court-Martial Cases,40995
4134,Adv. Rajeev Sharma,Ranchi,8,Environmental Law,NGO Registration,34448
4135,Adv. Om Prakash Rajput,Surat,7,Cyber Crime Law,Illegal Construction,37162
4136,Adv. Divya Saxena,Gwalior,15,Environmental Law,Liability Cases,6535
4137,Adv. Sandeep Narang,Vadodara,15,Elder Law,Custody Cases,20633
4138,Adv. Aditya Yadav,Bhavnagar,7,Civil Litigation,Financial Frauds,32050
4139,Adv. Parth Chatterjee,Amritsar,18,Arbitration & Mediation,Loan Disputes,10449
4140,Adv. Rashi Rana,Solapur,17,Environmental Law,Custody Cases,13533
4141,Adv. Om Prakash Sharma,Agra,19,Military Law,Bribery,13200
4142,Adv. Anjali Malik,Kolkata,14,Gender Rights Law,Visa Fraud,10617
4143,Adv. Deepa Sen,Raipur,6,Media & Entertainment Law,Insider Trading,25796
4144,Adv. Anjali Narang,Siliguri,20,Environmental Law,NGO Registration,12902
4145,Adv. Mohit Joshi,Bareilly,15,Consumer Protection Law,Property Disputes,7862
4146,Adv. Kavita Roy,Jodhpur,11,Civil Litigation,Cybercrime,47660
4147,Adv. Sanjana Chopra,Thiruvananthapuram,14,Financial Law,Workplace Harassment,8926
4148,Adv. Ritika Mehta,Jodhpur,6,Charity & NGO Law,Claim Disputes,39655
4149,Adv. Deepa Malik,Delhi,9,Debt Recovery Law,Drug Trafficking,21999
4150,Adv. Tanvi Tiwari,Delhi,19,Medical Negligence Law,Train Accidents,42589
4151,Adv. Tarun Sen,Bhavnagar,5,Aviation Law,Libel,37387
4152,Adv. Ajay Narang,Raipur,7,Family Law,Liability Cases,37509
4153,Adv. Kavita Kapoor,Hyderabad,17,International Law,Defective Products,15380
4154,Adv. Rohan Verma,Bangalore,18,Aviation Law,Money Laundering,46388
4155,Adv. Anjali Mishra,Thiruvananthapuram,20,Gender Rights Law,Liability Cases,13884
4156,Adv. Snehal Pandey,Pune,20,Financial Law,Juvenile Justice,11074
4157,Adv. Veena Agrawal,Madurai,11,Adoption & Surrogacy Law,Extradition,38898
4158,Adv. Veena Gupta,Mumbai,5,Insurance Law,Forged Cheques,21402
4159,Adv. Neha Saxena,Thiruvananthapuram,14,Real Estate Law,Fundamental Rights,44512
4160,Adv. Deepa Sharma,Vijayawada,15,Human Rights Law,Court-Martial Cases,11469
4161,Adv. Yogesh Agrawal,Ranchi,17,Medical Negligence Law,Defamation,26702
4162,Adv. Alok Jain,Delhi,18,Election Law,NGO Registration,37719
4163,Adv. Swati Tiwari,Udaipur,13,Corporate Law,RTI Cases,26299
4164,Adv. Megha Sharma,Bhavnagar,15,Insurance Law,Illegal Possession,9755
4165,Adv. Nidhi Mishra,Goa,13,Constitutional Law,Data Breach,29602
4166,Adv. Divya Malhotra,Coimbatore,20,Land & Property Law,Financial Frauds,21403
4167,Adv. Suraj Sen,Bhavnagar,9,Railway Law,Mergers,24085
4168,Adv. Aarav Bhardwaj,Mumbai,11,Arbitration & Mediation,Retirement Benefits,44715
4169,Adv. Tanvi Soni,Raipur,9,Cyber Crime Law,Data Breach,27681
4170,Adv. Akash Bhasin,Chennai,12,Insurance Law,Fraudulent Sales,9798
4171,Adv. Ajay Kapoor,Vijayawada,6,Telecommunication Law,Online Harassment,48067
4172,Adv. Veena Sharma,Thiruvananthapuram,10,Animal Rights Law,Unlawful Termination,21760
4173,Adv. Vikram Mishra,Goa,20,Aviation Law,Court-Martial Cases,5416
4174,Adv. Suraj Agrawal,Bangalore,18,Railway Law,Landlord-Tenant Issues,14924
4175,Adv. Aditya Malhotra,Bhavnagar,10,Debt Recovery Law,Dispute Settlements,24377
4176,Adv. Swati Malhotra,Raipur,6,Environmental Law,Counterfeit Cases,30739
4177,Adv. Kunal Chatterjee,Indore,17,Corporate Law,Money Laundering Cases,23275
4178,Adv. Arjun Chatterjee,Bareilly,18,Animal Rights Law,NGO Registration,5264
4179,Adv. Ramesh Gupta,Nashik,12,Military Law,GST Fraud,45885
4180,Adv. Suraj Verma,Patna,9,Insurance Law,Unlawful Termination,29573
4181,Adv. Veena Gupta,Lucknow,5,Civil Litigation,Unlawful Detention,44302
4182,Adv. Priya Saxena,Shimla,20,Defamation Law,Illegal Construction,11297
4183,Adv. Tanvi Khandelwal,Hubli,11,Adoption & Surrogacy Law,Financial Frauds,17114
4184,Adv. Swati Bhardwaj,Hyderabad,10,Real Estate Law,Loan Defaults,43251
4185,Adv. Alok Soni,Nashik,19,Aviation Law,Loan Defaults,37918
4186,Adv. Vikram Patel,Agra,14,Civil Rights Law,Juvenile Justice,6092
4187,Adv. Sunita Kaur,Chennai,17,Financial Law,Land Grabbing,35958
4188,Adv. Raghav Bhasin,Bareilly,19,Civil Litigation,Narcotics,24298
4189,Adv. Arjun Verma,Mysore,17,Railway Law,Police Brutality,46126
4190,Adv. Rahul Agrawal,Mumbai,9,Insurance Law,Player Contracts,12794
4191,Adv. Sandeep Sen,Raipur,17,Corporate Law,Juvenile Justice,32721
4192,Adv. Ritika Kapoor,Jodhpur,9,Gender Rights Law,Malpractice,35412
4193,Adv. Anjali Chauhan,Thiruvananthapuram,7,Cyber Crime Law,Privacy Issues,34383
4194,Adv. Kavita Reddy,Vijayawada,8,Anti-Corruption Law,Child Crime Cases,40954
4195,Adv. Suraj Rana,Mysore,9,Debt Recovery Law,Mutual Divorce,29236
4196,Adv. Nidhi Jain,Allahabad,6,Aviation Law,Player Contracts,25251
4197,Adv. Ishita Rajput,Vadodara,14,Criminal Law,Contract Breaches,35048
4198,Adv. Akash Rana,Guwahati,17,Land & Property Law,Counterfeit Cases,5967
4199,Adv. Parth Kaur,Gorakhpur,15,Cyber Law,Land Acquisition,34577
4200,Adv. Vikram Kapoor,Hubli,14,Gender Rights Law,Data Breach,43894
4201,Adv. Varun Gupta,Kolkata,14,Real Estate Law,NGO Registration,6624
4202,Adv. Megha Sinha,Warangal,7,Military Law,LGBTQ+ Rights Cases,28787
4203,Adv. Veena Bhatia,Allahabad,15,Medical Negligence Law,Mutual Divorce,48846
4204,Adv. Sunita Sinha,Vijayawada,20,Employment & Labor Law,Financial Frauds,32301
4205,Adv. Ritu Kapoor,Coimbatore,20,Defamation Law,Road Accidents,39265
4206,Adv. Suraj Saxena,Varanasi,20,Defamation Law,Counterfeit Cases,47156
4207,Adv. Pooja Kapoor,Meerut,15,Family Law,Asylum Cases,12467
4208,Adv. Nitin Malhotra,Hyderabad,17,Taxation Law,Visa Fraud,8875
4209,Adv. Rahul Vyas,Solapur,13,Employment & Labor Law,Claim Disputes,15199
4210,Adv. Varun Chopra,Kanpur,11,Arbitration & Mediation,Landlord-Tenant Issues,30042
4211,Adv. Kavita Mishra,Ranchi,13,Military Law,Child Custody,12162
4212,Adv. Ishita Kaur,Raipur,17,Civil Rights Law,Loan Defaults,30140
4213,Adv. Tanvi Nair,Udaipur,18,Consumer Protection Law,Breach of Contracts,28218
4214,Adv. Devansh Iyer,Gwalior,14,Land & Property Law,Copyright Disputes,36099
4215,Adv. Yogesh Deshmukh,Patna,5,Anti-Corruption Law,Foreign Trade Disputes,37734
4216,Adv. Sneha Joshi,Hyderabad,20,Media & Entertainment Law,Data Breach,47565
4217,Adv. Sneha Iyer,Goa,11,Juvenile Law,Visa Fraud,28349
4218,Adv. Ritu Das,Coimbatore,9,Media & Entertainment Law,Business Disputes,18535
4219,Adv. Kiran Saxena,Gwalior,20,Military Law,GST Fraud,33425
4220,Adv. Ashwin Choudhary,Chandigarh,12,Human Rights Law,Smuggling Cases,20943
4221,Adv. Rohan Rana,Goa,7,Immigration Law,Copyright Disputes,27160
4222,Adv. Varun Verma,Jaipur,15,Narcotics Law,Fraudulent Sales,30012
4223,Adv. Ramesh Choudhary,Siliguri,8,Civil Litigation,GST Fraud,11002
4224,Adv. Tanvi Malik,Kolkata,10,Election Law,Tax Evasion,15258
4225,Adv. Bhavna Kulkarni,Chennai,20,Adoption & Surrogacy Law,Privacy Issues,41077
4226,Adv. Akash Bhardwaj,Udaipur,11,Real Estate Law,Income Tax Disputes,48110
